Return,PFBCOLOM,GRUPOSURA,ECOPETROL,NUTRESA,GRUPOARGOS,BCOLOMBIA,CEMARGOS,ISA,PFGRUPSURA,EEB,PFGRUPOARG,EXITO,BOGOTA,PFCEMARGOS,CELSIA,RENTA LIQUIDEZ,RENTA ACCIONES,RENTA VARIABLE COLOMBIA,iCOLCAP
0.0914,0.025106426,0.006666003,0.013211586,0,0.013162493,0.001650729,0.023604333,0,0,0,0,0.019676288,0.034038335,0,0,0.5001166,0,0,0.362767206
0.0926,0.034995247,0.009069313,0.050978624,0,0.07982941,0.001958457,0.056441672,0,0,0,0,0.027277906,0.046386784,0,0,0.51529073,0,0,0.177771859
0.0934,0.047166103,0.012027232,0.048658677,0,0.076196515,0.002337199,0.053873111,0,0,0,0,0.036633745,0.061584875,0,0,0.491840765,0,0,0.169681778
0.0944,0.028909818,0.007590353,0.10951465,0,0,0.001769086,0.102058922,0,0,0,0,0.022599987,0.038787738,0,0,0.49627004,0,0,0.192499406
0.0954,0.015217605,0.004262694,0.069011484,0,0.103208878,0.001343001,0.053133652,0,0,0,0,0.012074669,0.021689886,0,0,0.50323048,0,0,0.216827652
0.0965,0.034995247,0.009069313,0.082377606,0,0,0.001958457,0.100209139,0,0,0,0,0.027277906,0.046386784,0,0,0.449595453,0,0,0.248130095
0.0974,0.025867104,0.006850873,0.096284222,0,0,0.0016744,0.127266347,0,0,0,0,0.020261028,0.034988216,0,0,0.452420161,0,0,0.234387649
0.0988,0.049448139,0.012581842,0.065462008,0,0,0.002408213,0.074995777,0,0,0,0,0.038387964,0.064434518,0,0,0.393787163,0,0,0.298494377
0.0994,0.029670497,0.007775223,0.019664696,0,0.054786355,0.001792757,0.121699996,0,0,0,0,0.023184727,0.039737619,0,0,0.406850267,0,0,0.294837863
0.1004,0.04868746,0.012396972,0.02948552,0,0.069666863,0.002384542,0.047309031,0,0,0,0,0.037803224,0.063484637,0,0,0.37585174,0,0,0.312930011
0.1014,0.018260319,0.005002174,0.047155658,0,0.078996765,0.001437686,0.061137453,0,0,0,0,0.014413629,0.025489409,0,0,0.396321289,0,0,0.351785618
0.1024,0.034995247,0.009069313,0.062984878,0,0.092560292,0.001958457,0.096975566,0,0,0,0,0.027277906,0.046386784,0,0,0.384075358,0,0,0.2437162
0.1035,0.00228607,0.001119905,0.082396926,0,0.045125452,0.000940587,0.120433915,0,0,0,0,0.002134091,0.005541914,0,0,0.386985784,0,0,0.353035357
