Risk,Return,Frontera
0.099324,0.131096,4
0.100431,0.134721,4
0.101338,0.137306,4
0.102333,0.140482,4
0.103320,0.144366,4
0.104352,0.147287,4
0.105322,0.150327,4
0.106340,0.153458,4
0.107362,0.156494,4
0.108359,0.159726,4
0.109670,0.163877,4
0.110327,0.167003,4
0.111334,0.170349,4
0.112317,0.173449,4
0.113339,0.175566,4
0.114342,0.181246,4
0.115695,0.184314,4
0.116441,0.186481,4
0.117343,0.191320,4
0.118506,0.192740,4
0.119468,0.195606,4
0.120312,0.199286,4
0.121468,0.202718,4
0.122355,0.205555,4
0.123932,0.210425,4
0.125052,0.213886,4
0.125487,0.219699,4
0.126527,0.221352,4
0.127427,0.225977,4
0.128349,0.232282,4
0.129383,0.239734,4
0.130319,0.246047,4
0.131361,0.253774,4
0.132384,0.262271,4
0.133601,0.275611,4
0.134402,0.302685,4
